funding_event_id,announced_at,company_id,company,country,region,tech_category,round_type,amount_musd,valuation_musd,lead_investor,sentiment_score,trend_score,estimated_hiring_impact_pct,risk_indicator,innovation_score,adoption_score,source_reference
FND-900000,2025-02-15T00:00:00,CMP-001,OpenAI,United States,North America,AI Agents,Tender Offer,107.98,1256.19,Sequoia,0.325,50.89,2.17,low,89.24,73.21,https://funding.example.com/900000
FND-900001,2025-02-16T00:00:00,CMP-001,OpenAI,United States,North America,Enterprise AI,Strategic Round,350.0,7030.32,Accel,0.14,50.64,2.96,low,78.69,79.82,https://funding.example.com/900001
FND-900002,2025-03-02T00:00:00,CMP-001,OpenAI,United States,North America,Enterprise AI,Growth Round,223.68,3133.59,Lightspeed,0.232,56.38,4.87,low,86.0,80.39,https://funding.example.com/900002
FND-900003,2025-03-23T00:00:00,CMP-001,OpenAI,United States,North America,Generative AI,Tender Offer,170.48,3122.57,Accel,0.346,68.13,2.0,low,92.16,76.08,https://funding.example.com/900003
FND-900004,2025-04-21T00:00:00,CMP-001,OpenAI,United States,North America,LLM,Tender Offer,131.22,2200.37,SoftBank,0.221,74.06,2.0,low,92.01,71.84,https://funding.example.com/900004
FND-900005,2025-09-15T00:00:00,CMP-001,OpenAI,United States,North America,Enterprise AI,Growth Round,120.73,1335.45,Corporate VC,0.11,57.72,2.0,low,82.75,82.12,https://funding.example.com/900005
FND-900006,2026-04-16T00:00:00,CMP-001,OpenAI,United States,North America,Generative AI,Tender Offer,173.49,1427.36,Corporate VC,0.083,57.37,2.66,low,93.36,73.12,https://funding.example.com/900006
FND-900007,2025-04-20T00:00:00,CMP-002,Anthropic,United States,North America,Enterprise AI,Tender Offer,217.27,4167.87,Sequoia,-0.076,49.76,4.49,low,84.21,76.9,https://funding.example.com/900007
FND-900008,2025-09-25T00:00:00,CMP-002,Anthropic,United States,North America,AI Agents,Strategic Round,202.15,4852.69,Accel,0.071,55.6,2.0,low,90.73,73.0,https://funding.example.com/900008
FND-900009,2025-09-27T00:00:00,CMP-002,Anthropic,United States,North America,Enterprise AI,Strategic Round,239.19,5741.9,Accel,0.199,50.54,2.13,low,83.18,79.12,https://funding.example.com/900009
FND-900010,2025-11-11T00:00:00,CMP-002,Anthropic,United States,North America,AI Agents,Tender Offer,321.06,5337.91,Sequoia,0.429,61.85,5.35,low,89.74,65.11,https://funding.example.com/900010
FND-900011,2025-12-14T00:00:00,CMP-002,Anthropic,United States,North America,Enterprise AI,Strategic Round,350.0,3036.57,SoftBank,0.218,53.04,6.9,low,87.58,77.86,https://funding.example.com/900011
FND-900012,2026-02-22T00:00:00,CMP-002,Anthropic,United States,North America,LLM,Strategic Round,145.4,1068.92,Accel,0.085,63.93,2.0,low,91.75,71.26,https://funding.example.com/900012
FND-900013,2026-03-31T00:00:00,CMP-002,Anthropic,United States,North America,AI Agents,Growth Round,224.49,3195.45,Coatue,0.114,59.08,3.09,low,94.07,76.32,https://funding.example.com/900013
FND-900014,2025-03-15T00:00:00,CMP-003,Google DeepMind,United States,North America,Edge AI,Internal Investment,311.32,5634.95,Accel,-0.09,30.86,2.0,low,85.76,53.29,https://funding.example.com/900014
FND-900015,2025-05-21T00:00:00,CMP-003,Google DeepMind,United States,North America,LLM,Capex Allocation,661.38,13350.05,Lightspeed,0.297,62.71,7.47,low,89.19,73.33,https://funding.example.com/900015
FND-900016,2025-12-08T00:00:00,CMP-003,Google DeepMind,United States,North America,Robotics,Internal Investment,683.18,16485.87,Corporate VC,0.132,26.35,4.33,low,88.4,49.31,https://funding.example.com/900016
FND-900017,2026-02-09T00:00:00,CMP-003,Google DeepMind,United States,North America,Edge AI,Internal Investment,542.21,8312.76,Accel,0.094,32.67,3.53,low,81.63,56.36,https://funding.example.com/900017
FND-900018,2026-04-22T00:00:00,CMP-003,Google DeepMind,United States,North America,Enterprise AI,Internal Investment,358.73,2778.88,SoftBank,0.192,52.64,3.94,low,83.06,71.7,https://funding.example.com/900018
FND-900019,2025-01-23T00:00:00,CMP-004,NVIDIA,United States,North America,Inference Optimization,Follow-on Offering,800.0,12592.1,Sequoia,0.029,27.89,8.0,low,92.62,45.78,https://funding.example.com/900019
FND-900020,2025-01-29T00:00:00,CMP-004,NVIDIA,United States,North America,GPU Infrastructure,Strategic Investment,232.63,2908.36,SoftBank,0.192,42.66,2.0,low,86.0,62.92,https://funding.example.com/900020
FND-900021,2025-04-21T00:00:00,CMP-004,NVIDIA,United States,North America,Semiconductors,Capex Program,365.32,9435.2,Accel,-0.032,44.35,2.5,low,86.44,68.48,https://funding.example.com/900021
FND-900022,2025-06-10T00:00:00,CMP-004,NVIDIA,United States,North America,Inference Optimization,Strategic Investment,285.26,4854.31,Corporate VC,0.3,28.28,3.99,low,89.12,52.89,https://funding.example.com/900022
FND-900023,2025-10-28T00:00:00,CMP-004,NVIDIA,United States,North America,Semiconductors,Capex Program,800.0,21452.12,General Catalyst,0.114,53.31,6.71,low,80.79,74.66,https://funding.example.com/900023
FND-900024,2026-01-09T00:00:00,CMP-004,NVIDIA,United States,North America,Inference Optimization,Strategic Investment,650.34,11996.47,Coatue,0.131,31.79,7.78,low,90.1,57.19,https://funding.example.com/900024
FND-900025,2026-01-19T00:00:00,CMP-004,NVIDIA,United States,North America,GPU Infrastructure,Capex Program,562.11,6261.54,Accel,0.016,42.47,5.82,low,82.73,64.11,https://funding.example.com/900025
FND-900026,2026-03-03T00:00:00,CMP-004,NVIDIA,United States,North America,Semiconductors,Follow-on Offering,514.76,4653.97,Coatue,0.113,50.47,5.85,low,85.1,80.08,https://funding.example.com/900026
FND-900027,2026-04-14T00:00:00,CMP-004,NVIDIA,United States,North America,Semiconductors,Capex Program,636.42,11315.57,General Catalyst,0.331,53.65,7.77,low,87.05,71.6,https://funding.example.com/900027
FND-900028,2026-04-22T00:00:00,CMP-004,NVIDIA,United States,North America,Inference Optimization,Follow-on Offering,342.84,9534.02,Accel,0.186,28.87,3.87,low,90.32,53.35,https://funding.example.com/900028
FND-900029,2025-02-01T00:00:00,CMP-005,Meta AI,United States,North America,AI Agents,Internal Investment,607.87,9688.7,SoftBank,0.356,57.79,7.09,low,91.14,67.53,https://funding.example.com/900029
FND-900030,2025-03-18T00:00:00,CMP-005,Meta AI,United States,North America,Open Source AI,Internal Investment,700.0,18866.57,SoftBank,0.206,42.52,8.23,low,87.74,68.77,https://funding.example.com/900030
FND-900031,2025-04-22T00:00:00,CMP-005,Meta AI,United States,North America,Generative AI,Internal Investment,296.29,2344.78,SoftBank,0.281,67.43,3.23,low,84.41,76.87,https://funding.example.com/900031
FND-900032,2026-01-20T00:00:00,CMP-005,Meta AI,United States,North America,Generative AI,Internal Investment,185.36,4306.23,Accel,0.386,66.43,2.0,low,91.65,67.18,https://funding.example.com/900032
FND-900033,2026-03-12T00:00:00,CMP-005,Meta AI,United States,North America,Generative AI,Internal Investment,323.36,7288.12,Coatue,0.172,62.55,3.56,low,91.36,69.08,https://funding.example.com/900033
FND-900034,2025-01-06T00:00:00,CMP-006,Microsoft,United States,North America,Developer Tools,Follow-on Offering,588.7,14945.24,Sequoia,0.338,49.08,3.27,low,86.55,83.69,https://funding.example.com/900034
FND-900035,2025-04-24T00:00:00,CMP-006,Microsoft,United States,North America,Developer Tools,Follow-on Offering,232.79,2563.04,General Catalyst,0.306,41.92,2.03,low,85.73,74.52,https://funding.example.com/900035
FND-900036,2025-05-11T00:00:00,CMP-006,Microsoft,United States,North America,Cloud Computing,Strategic Investment,551.16,8428.81,General Catalyst,0.222,40.03,6.01,low,70.27,87.46,https://funding.example.com/900036
FND-900037,2025-07-08T00:00:00,CMP-006,Microsoft,United States,North America,Enterprise AI,Strategic Investment,494.35,11091.48,SoftBank,0.365,59.74,3.88,low,82.91,77.18,https://funding.example.com/900037
FND-900038,2025-11-18T00:00:00,CMP-006,Microsoft,United States,North America,Enterprise AI,Strategic Investment,493.36,4462.62,Coatue,0.168,54.82,6.74,low,84.28,83.48,https://funding.example.com/900038
FND-900039,2026-04-14T00:00:00,CMP-006,Microsoft,United States,North America,Enterprise AI,Strategic Investment,490.1,9311.15,Sequoia,0.245,48.78,7.18,low,86.36,83.03,https://funding.example.com/900039
FND-900040,2025-04-15T00:00:00,CMP-007,Hugging Face,United States,North America,Developer Tools,Strategic Round,190.03,2558.59,Coatue,0.161,44.28,2.18,low,81.97,77.17,https://funding.example.com/900040
FND-900041,2025-05-25T00:00:00,CMP-007,Hugging Face,United States,North America,Developer Tools,Growth Round,350.0,2977.64,Lightspeed,0.22,53.37,3.54,low,73.73,80.15,https://funding.example.com/900041
FND-900042,2025-06-12T00:00:00,CMP-007,Hugging Face,United States,North America,Developer Tools,Strategic Round,320.93,5649.07,Sequoia,0.369,44.42,6.49,low,80.64,80.45,https://funding.example.com/900042
FND-900043,2025-07-14T00:00:00,CMP-007,Hugging Face,United States,North America,MLOps,Strategic Round,241.1,3470.59,Sequoia,0.132,39.83,4.38,low,77.41,64.46,https://funding.example.com/900043
FND-900044,2025-08-13T00:00:00,CMP-007,Hugging Face,United States,North America,Developer Tools,Strategic Round,190.41,4425.64,General Catalyst,0.147,38.45,4.17,low,82.95,78.71,https://funding.example.com/900044
FND-900045,2025-10-14T00:00:00,CMP-007,Hugging Face,United States,North America,Open Source AI,Strategic Round,150.72,2629.03,Lightspeed,0.17,42.15,2.0,low,80.47,66.7,https://funding.example.com/900045
FND-900046,2025-10-30T00:00:00,CMP-007,Hugging Face,United States,North America,Open Source AI,Growth Round,105.09,1205.94,Accel,0.367,44.65,2.0,low,88.67,63.28,https://funding.example.com/900046
FND-900047,2025-01-21T00:00:00,CMP-008,Perplexity,United States,North America,Enterprise AI,Tender Offer,289.24,6062.03,Accel,0.11,59.64,6.16,low,81.89,78.3,https://funding.example.com/900047
