company_id,company,country,country_code,region,sector,stage,reference_type,dominant_topics
CMP-001,OpenAI,United States,US,North America,AI Platform,private,real_reference,"AI Agents, LLM, Generative AI, Enterprise AI"
CMP-002,Anthropic,United States,US,North America,AI Platform,private,real_reference,"AI Agents, LLM, Enterprise AI"
CMP-003,Google DeepMind,United States,US,North America,Research Lab,subsidiary,real_reference,"LLM, Robotics, Edge AI, Enterprise AI"
CMP-004,NVIDIA,United States,US,North America,Semiconductors,public,real_reference,"Semiconductors, GPU Infrastructure, Inference Optimization"
CMP-005,Meta AI,United States,US,North America,AI Research,subsidiary,real_reference,"Generative AI, Open Source AI, AI Agents"
CMP-006,Microsoft,United States,US,North America,Cloud + Productivity,public,real_reference,"Enterprise AI, Cloud Computing, Developer Tools"
CMP-007,Hugging Face,United States,US,North America,Open Source AI,private,real_reference,"Open Source AI, MLOps, Developer Tools"
CMP-008,Perplexity,United States,US,North America,AI Search,private,real_reference,"LLM, AI Agents, Enterprise AI"
CMP-009,Scale AI,United States,US,North America,Data + AI Infrastructure,private,real_reference,"AI Agents, Enterprise AI"
CMP-010,Databricks,United States,US,North America,Data Platform,private,real_reference,"Data Engineering, MLOps, Enterprise AI"
CMP-011,Snowflake,United States,US,North America,Data Platform,public,real_reference,"Data Engineering, Cloud Computing, Enterprise AI, SaaS"
CMP-012,AWS,United States,US,North America,Cloud,subsidiary,real_reference,"Cloud Computing, Enterprise AI, Data Engineering"
CMP-013,Cursor,United States,US,North America,Developer Tools,private,real_reference,"Developer Tools, AI Agents"
CMP-014,Replit,United States,US,North America,Developer Tools,private,real_reference,"Developer Tools, AI Agents, Automation"
CMP-015,Windsurf,United States,US,North America,Developer Tools,private,real_reference,"Developer Tools, AI Agents, Automation"
CMP-016,Midjourney,United States,US,North America,Creative AI,private,real_reference,Generative AI
CMP-017,Stability AI,United Kingdom,UK,Europe,Open Source AI,private,real_reference,"Generative AI, Open Source AI, MLOps"
CMP-018,Mistral AI,France,FR,Europe,Foundation Models,private,real_reference,"LLM, Open Source AI, Inference Optimization, Enterprise AI"
CMP-019,CoreWeave,United States,US,North America,Cloud Infrastructure,public,real_reference,"GPU Infrastructure, Inference Optimization, Cloud Computing"
CMP-020,Figure,United States,US,North America,Robotics,private,real_reference,"Robotics, Semiconductors"
CMP-021,CrowdStrike,United States,US,North America,Cybersecurity,public,real_reference,Cybersecurity
CMP-022,Palo Alto Networks,United States,US,North America,Cybersecurity,public,real_reference,"Cybersecurity, Edge AI"
CMP-023,Cloudflare,United States,US,North America,Network Security,public,real_reference,"Cybersecurity, Edge AI"
CMP-024,GitLab,United States,US,North America,DevOps,public,real_reference,"DevOps, Cloud Computing, Developer Tools, SaaS"
CMP-025,MongoDB,United States,US,North America,Database,public,real_reference,"Developer Tools, Vector Databases, Data Engineering, SaaS"
CMP-026,Confluent,United States,US,North America,Streaming Data,public,real_reference,"Data Engineering, DevOps"
CMP-027,HashiCorp,United States,US,North America,Infrastructure Automation,public,real_reference,"DevOps, Automation, Cloud Computing"
CMP-028,LangChain,United States,US,North America,AI Frameworks,private,real_reference,"AI Agents, Developer Tools, Open Source AI"
CMP-029,Vercel,United States,US,North America,Developer Platform,private,real_reference,"Developer Tools, Cloud Computing"
CMP-030,Weaviate,Germany,DE,Europe,Vector Database,private,real_reference,"Vector Databases, Open Source AI"
CMP-031,AgentForge,Singapore,SG,Asia,AI Agents,series_b,synthetic_company,"AI Agents, Automation, Enterprise AI"
CMP-032,SentinelGraph,United Kingdom,UK,Europe,Cybersecurity,series_a,synthetic_company,"Cybersecurity, AI Agents"
CMP-033,EdgeNova,China,CN,Asia,Edge AI,series_b,synthetic_company,"Edge AI, Semiconductors"
CMP-034,Helio Robotics,Japan,JP,Asia,Robotics,series_b,synthetic_company,"Robotics, Edge AI"
CMP-035,ChainSignal,United Arab Emirates,AE,Middle East,Web3,series_a,synthetic_company,Web3
CMP-036,LedgerSpring,Singapore,SG,Asia,Web3,seed,synthetic_company,Web3
CMP-037,OpsFabric,India,IN,Asia,SaaS Automation,series_b,synthetic_company,"SaaS, Automation, DevOps"
CMP-038,VectorNest,Canada,CA,North America,AI Database,series_a,synthetic_company,"Vector Databases, Inference Optimization"
CMP-039,InferOptics,United States,US,North America,Inference Optimization,series_a,synthetic_company,"Inference Optimization, GPU Infrastructure"
