job_id,posted_at,company,role,location,salary_usd,experience_years,skills,job_description,company_id,country,region,tech_category,hiring_index,funding_signal,sentiment_score,trend_score,popularity_growth_pct,volatility_metric,innovation_score,adoption_score,risk_indicator,source_platform
JOB-100000,2025-01-02T08:00:00,OpenAI,Applied Scientist,Austin,194784.0,9,"Prompt Engineering, Inference, Serving, PyTorch, Diffusion","OpenAI is hiring a Applied Scientist in Austin to scale generative ai initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting regional go-to-market launches. Candidates should be comfortable with Prompt Engineering, Inference, Serving and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,71.47,1.13,0.189,55.68,-1.31,8.96,88.07,69.1,low,LinkedIn
JOB-100001,2025-01-03T10:00:00,OpenAI,LLM Engineer,San Francisco,157323.0,3,"Tokenization, Fine-tuning, Transformers, Evaluation, PyTorch","OpenAI is hiring a LLM Engineer in San Francisco to scale llm initiatives across enterprise and developer workflows. The team is focused on global availability while supporting internal platform teams. Candidates should be comfortable with Tokenization, Fine-tuning, Transformers and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,68.65,1.13,0.157,53.52,-3.54,8.54,90.9,75.96,low,LinkedIn
JOB-100002,2025-01-06T19:00:00,OpenAI,Generative AI Product Engineer,New York,160692.0,3,"PyTorch, Prompt Engineering, Inference, Serving, Diffusion","OpenAI is hiring a Generative AI Product Engineer in New York to scale generative ai initiatives across enterprise and developer workflows. The team is focused on cost-efficient inference while supporting internal platform teams. Candidates should be comfortable with PyTorch, Prompt Engineering, Inference and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,71.12,1.13,0.228,55.78,2.08,10.0,91.33,71.38,low,LinkedIn
JOB-100003,2025-01-06T17:00:00,OpenAI,Agent Platform Engineer,Seattle,164571.0,3,"RAG, LangChain, OpenAI API, Tool Calling, Python","OpenAI is hiring a Agent Platform Engineer in Seattle to scale ai agents initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting production customers. Candidates should be comfortable with RAG, LangChain, OpenAI API and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,71.12,1.13,0.228,55.78,2.08,10.0,91.33,71.38,low,LinkedIn
JOB-100004,2025-01-07T11:00:00,OpenAI,Applied Researcher,San Francisco,198685.0,7,"Tokenization, Fine-tuning, Transformers, PyTorch, Evaluation","OpenAI is hiring a Applied Researcher in San Francisco to scale llm initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting internal platform teams. Candidates should be comfortable with Tokenization, Fine-tuning, Transformers and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,68.44,1.13,0.146,57.41,3.76,10.94,87.81,72.5,low,LinkedIn
JOB-100005,2025-01-07T13:00:00,OpenAI,Platform Product Manager,Austin,177341.0,6,"Governance, Snowflake, Azure, Databricks, Security","OpenAI is hiring a Platform Product Manager in Austin to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on secure deployment while supporting open-source contributors. Candidates should be comfortable with Governance, Snowflake, Azure and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,68.44,1.13,0.146,57.41,3.76,10.94,87.81,72.5,low,LinkedIn
JOB-100006,2025-01-08T15:00:00,OpenAI,Applied Researcher,San Francisco,190881.0,8,"Fine-tuning, Evaluation, Transformers, Tokenization, PyTorch","OpenAI is hiring a Applied Researcher in San Francisco to scale llm initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting internal platform teams. Candidates should be comfortable with Fine-tuning, Evaluation, Transformers and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,68.72,1.13,0.198,55.48,-3.46,9.5,88.88,73.36,low,LinkedIn
JOB-100007,2025-01-09T15:00:00,OpenAI,Platform Product Manager,Austin,155456.0,3,"Snowflake, Security, Governance, Azure, Databricks","OpenAI is hiring a Platform Product Manager in Austin to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on cost-efficient inference while supporting regional go-to-market launches. Candidates should be comfortable with Snowflake, Security, Governance and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,75.12,1.13,0.171,55.95,0.63,8.07,90.35,70.21,low,LinkedIn
JOB-100008,2025-01-10T17:00:00,OpenAI,Multimodal Engineer,New York,173967.0,3,"PyTorch, Prompt Engineering, Inference, Diffusion, Serving","OpenAI is hiring a Multimodal Engineer in New York to scale generative ai initiatives across enterprise and developer workflows. The team is focused on cost-efficient inference while supporting regional go-to-market launches. Candidates should be comfortable with PyTorch, Prompt Engineering, Inference and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,71.88,1.13,0.253,54.78,-2.16,8.92,90.64,72.11,low,LinkedIn
JOB-100009,2025-01-10T16:00:00,OpenAI,Platform Product Manager,Seattle,152903.0,5,"Azure, Snowflake, Security, Databricks, Governance","OpenAI is hiring a Platform Product Manager in Seattle to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting regional go-to-market launches. Candidates should be comfortable with Azure, Snowflake, Security and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,71.88,1.13,0.253,54.78,-2.16,8.92,90.64,72.11,low,LinkedIn
JOB-100010,2025-01-10T15:00:00,OpenAI,AI Solutions Architect,San Francisco,179678.0,5,"Security, Azure, Snowflake, Governance, Databricks","OpenAI is hiring a AI Solutions Architect in San Francisco to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on cost-efficient inference while supporting production customers. Candidates should be comfortable with Security, Azure, Snowflake and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,71.88,1.13,0.253,54.78,-2.16,8.92,90.64,72.11,low,LinkedIn
JOB-100011,2025-01-13T09:00:00,OpenAI,Applied Researcher,Seattle,175973.0,5,"PyTorch, Evaluation, Fine-tuning, Tokenization, Transformers","OpenAI is hiring a Applied Researcher in Seattle to scale llm initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting open-source contributors. Candidates should be comfortable with PyTorch, Evaluation, Fine-tuning and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,68.95,1.13,0.218,58.13,1.55,6.97,90.58,71.12,low,LinkedIn
JOB-100012,2025-01-15T16:00:00,OpenAI,Applied Researcher,Austin,191724.0,7,"PyTorch, Transformers, Evaluation, Tokenization, Fine-tuning","OpenAI is hiring a Applied Researcher in Austin to scale llm initiatives across enterprise and developer workflows. The team is focused on global availability while supporting open-source contributors. Candidates should be comfortable with PyTorch, Transformers, Evaluation and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,75.55,1.13,0.271,59.86,-0.78,7.94,90.06,74.07,low,LinkedIn
JOB-100013,2025-01-15T09:00:00,OpenAI,AI Engineer,New York,167303.0,4,"OpenAI API, LangChain, FastAPI, RAG, Python","OpenAI is hiring a AI Engineer in New York to scale ai agents initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting regional go-to-market launches. Candidates should be comfortable with OpenAI API, LangChain, FastAPI and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,75.55,1.13,0.271,59.86,-0.78,7.94,90.06,74.07,low,LinkedIn
JOB-100014,2025-01-16T11:00:00,OpenAI,LLM Engineer,Seattle,129653.0,4,"Fine-tuning, Tokenization, Evaluation, Transformers, PyTorch","OpenAI is hiring a LLM Engineer in Seattle to scale llm initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting regional go-to-market launches. Candidates should be comfortable with Fine-tuning, Tokenization, Evaluation and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,76.12,1.13,0.309,60.77,1.79,9.21,90.44,70.25,low,LinkedIn
JOB-100015,2025-01-16T15:00:00,OpenAI,Applied Scientist,San Francisco,177102.0,5,"FastAPI, RAG, Tool Calling, Python, LangChain","OpenAI is hiring a Applied Scientist in San Francisco to scale ai agents initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting open-source contributors. Candidates should be comfortable with FastAPI, RAG, Tool Calling and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,76.12,1.13,0.309,60.77,1.79,9.21,90.44,70.25,low,LinkedIn
JOB-100016,2025-01-16T20:00:00,OpenAI,AI Solutions Architect,New York,150554.0,6,"Snowflake, Databricks, Governance, Azure, Security","OpenAI is hiring a AI Solutions Architect in New York to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on cost-efficient inference while supporting production customers. Candidates should be comfortable with Snowflake, Databricks, Governance and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,76.12,1.13,0.309,60.77,1.79,9.21,90.44,70.25,low,LinkedIn
JOB-100017,2025-01-17T12:00:00,OpenAI,Generative AI Product Engineer,Austin,185554.0,7,"Prompt Engineering, Diffusion, Inference, PyTorch, Serving","OpenAI is hiring a Generative AI Product Engineer in Austin to scale generative ai initiatives across enterprise and developer workflows. The team is focused on cost-efficient inference while supporting open-source contributors. Candidates should be comfortable with Prompt Engineering, Diffusion, Inference and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,70.39,1.13,0.24,58.77,-3.41,9.87,87.86,72.11,low,LinkedIn
