video_id,published_at,channel,topic,company_id,company,title,views,likes,comments,watch_time_minutes,country,sentiment_score,trend_score,funding_estimate_musd,hiring_activity_index,hashtags,popularity_growth_pct,volatility_metric,ai_summary,risk_indicator,innovation_score,adoption_score,source_reference
YT-800000,2025-01-03T02:00:00,Two Minute Papers,AI Agents,CMP-002,Anthropic,AI Agents market update: what Anthropic says about 2026 demand,44849,3036,636,36058,United Kingdom,0.051,53.05,18.63,47.14,#aiagents|#AI|#UK,5.42,11.1,"Anthropic teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,88.95,71.1,https://youtube.example.com/watch?v=800000
YT-800001,2025-01-03T07:00:00,Machine Learning Street Talk,AI Agents,CMP-015,Windsurf,AI Agents market update: what Windsurf says about 2026 demand,12777,384,50,24553,United Kingdom,0.213,53.05,23.33,45.52,#aiagents|#AI|#UK,5.42,11.1,"Windsurf teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,88.95,71.1,https://youtube.example.com/watch?v=800001
YT-800002,2025-01-05T05:00:00,MLOps Weekly,AI Agents,CMP-001,OpenAI,AI Agents market update: what OpenAI says about 2026 demand,98873,7387,1032,251734,Japan,0.53,43.59,32.22,39.95,#aiagents|#AI|#JP,2.66,9.37,"OpenAI teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,89.49,70.36,https://youtube.example.com/watch?v=800002
YT-800003,2025-01-05T10:00:00,Cloud Native Bytes,AI Agents,CMP-001,OpenAI,AI Agents market update: what OpenAI says about 2026 demand,77546,6743,1347,142215,Japan,0.341,43.59,21.41,34.17,#aiagents|#AI|#JP,2.66,9.37,"Analysts note that ai agents usage patterns on Jan 05, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,89.49,70.36,https://youtube.example.com/watch?v=800003
YT-800004,2025-01-05T17:00:00,Two Minute Papers,AI Agents,CMP-013,Cursor,AI Agents market update: what Cursor says about 2026 demand,117684,8753,1749,173552,China,0.195,46.72,15.06,42.92,#aiagents|#AI|#CN,5.73,10.12,"Cursor teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,91.86,65.98,https://youtube.example.com/watch?v=800004
YT-800005,2025-01-05T06:00:00,Two Minute Papers,AI Agents,CMP-013,Cursor,AI Agents market update: what Cursor says about 2026 demand,115379,7337,670,179581,China,0.108,46.72,14.65,27.1,#aiagents|#AI|#CN,5.73,10.12,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,91.86,65.98,https://youtube.example.com/watch?v=800005
YT-800006,2025-01-06T08:00:00,The AI Breakdown,AI Agents,CMP-014,Replit,AI Agents market update: what Replit says about 2026 demand,33678,977,191,74277,United Kingdom,0.229,52.71,36.26,40.1,#aiagents|#AI|#UK,6.67,8.94,"Replit teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,90.67,67.74,https://youtube.example.com/watch?v=800006
YT-800007,2025-01-06T18:00:00,Fireship,AI Agents,CMP-001,OpenAI,AI Agents market update: what OpenAI says about 2026 demand,95459,4196,749,220371,United Kingdom,0.638,52.71,29.89,40.84,#aiagents|#AI|#UK,6.67,8.94,"Analysts note that ai agents usage patterns on Jan 06, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,90.67,67.74,https://youtube.example.com/watch?v=800007
YT-800008,2025-01-06T23:00:00,Two Minute Papers,AI Agents,CMP-013,Cursor,AI Agents market update: what Cursor says about 2026 demand,112065,4392,373,280565,Germany,0.266,46.16,24.12,40.21,#aiagents|#AI|#DE,3.32,6.88,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,87.35,65.75,https://youtube.example.com/watch?v=800008
YT-800009,2025-01-06T18:00:00,The AI Breakdown,AI Agents,CMP-002,Anthropic,AI Agents market update: what Anthropic says about 2026 demand,103767,4262,796,151913,Germany,0.274,46.16,15.85,40.7,#aiagents|#AI|#DE,3.32,6.88,"Analysts note that ai agents usage patterns on Jan 06, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,87.35,65.75,https://youtube.example.com/watch?v=800009
YT-800010,2025-01-06T03:00:00,The AI Breakdown,AI Agents,CMP-001,OpenAI,AI Agents market update: what OpenAI says about 2026 demand,24859,999,114,35780,Canada,0.49,48.29,16.98,36.24,#aiagents|#AI|#CA,10.44,11.98,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,92.08,66.66,https://youtube.example.com/watch?v=800010
YT-800011,2025-01-06T10:00:00,Cloud Native Bytes,AI Agents,CMP-028,LangChain,AI Agents market update: what LangChain says about 2026 demand,130639,7642,870,170072,Canada,0.458,48.29,19.76,44.78,#aiagents|#AI|#CA,10.44,11.98,"LangChain teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,92.08,66.66,https://youtube.example.com/watch?v=800011
YT-800012,2025-01-07T13:00:00,MLOps Weekly,AI Agents,CMP-015,Windsurf,AI Agents market update: what Windsurf says about 2026 demand,61567,2432,268,72860,United Kingdom,0.544,53.34,23.79,36.11,#aiagents|#AI|#UK,1.19,6.74,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,90.46,62.24,https://youtube.example.com/watch?v=800012
YT-800013,2025-01-07T22:00:00,Fireship,AI Agents,CMP-028,LangChain,AI Agents market update: what LangChain says about 2026 demand,117024,8234,869,183911,United Kingdom,0.416,53.34,24.4,33.66,#aiagents|#AI|#UK,1.19,6.74,"LangChain teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,90.46,62.24,https://youtube.example.com/watch?v=800013
YT-800014,2025-01-07T12:00:00,MLOps Weekly,AI Agents,CMP-014,Replit,AI Agents market update: what Replit says about 2026 demand,75845,3612,366,194021,Germany,0.156,47.97,25.24,35.79,#aiagents|#AI|#DE,3.92,7.97,"Analysts note that ai agents usage patterns on Jan 07, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,86.92,64.96,https://youtube.example.com/watch?v=800014
YT-800015,2025-01-07T16:00:00,Machine Learning Street Talk,AI Agents,CMP-028,LangChain,AI Agents market update: what LangChain says about 2026 demand,67241,5355,1173,68077,Germany,0.402,47.97,14.89,34.83,#aiagents|#AI|#DE,3.92,7.97,"Analysts note that ai agents usage patterns on Jan 07, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,86.92,64.96,https://youtube.example.com/watch?v=800015
YT-800016,2025-01-08T08:00:00,The AI Breakdown,AI Agents,CMP-013,Cursor,AI Agents market update: what Cursor says about 2026 demand,43298,2974,470,102380,India,0.186,48.6,16.89,37.07,#aiagents|#AI|#IN,3.28,8.23,"Cursor teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,90.84,66.21,https://youtube.example.com/watch?v=800016
YT-800017,2025-01-08T12:00:00,MLOps Weekly,AI Agents,CMP-001,OpenAI,AI Agents market update: what OpenAI says about 2026 demand,27785,1523,182,36415,India,0.293,48.6,19.45,39.27,#aiagents|#AI|#IN,3.28,8.23,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,90.84,66.21,https://youtube.example.com/watch?v=800017
YT-800018,2025-01-11T03:00:00,Machine Learning Street Talk,AI Agents,CMP-028,LangChain,AI Agents market update: what LangChain says about 2026 demand,46775,3826,699,70936,United Arab Emirates,0.168,44.93,21.01,36.89,#aiagents|#AI|#AE,-3.72,8.6,"Analysts note that ai agents usage patterns on Jan 11, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,89.56,69.6,https://youtube.example.com/watch?v=800018
YT-800019,2025-01-11T10:00:00,Two Minute Papers,AI Agents,CMP-001,OpenAI,AI Agents market update: what OpenAI says about 2026 demand,61443,2176,280,79173,United Arab Emirates,-0.04,44.93,33.67,26.13,#aiagents|#AI|#AE,-3.72,8.6,"Analysts note that ai agents usage patterns on Jan 11, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,89.56,69.6,https://youtube.example.com/watch?v=800019
YT-800020,2025-01-12T20:00:00,MLOps Weekly,AI Agents,CMP-001,OpenAI,AI Agents market update: what OpenAI says about 2026 demand,28588,1654,328,55480,United Kingdom,0.023,61.66,21.03,35.74,#aiagents|#AI|#UK,18.25,17.81,"Analysts note that ai agents usage patterns on Jan 12, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",elevated,92.04,67.92,https://youtube.example.com/watch?v=800020
YT-800021,2025-01-12T04:00:00,Cloud Native Bytes,AI Agents,CMP-028,LangChain,AI Agents market update: what LangChain says about 2026 demand,55299,4470,498,111096,United Kingdom,-0.022,61.66,23.21,44.33,#aiagents|#AI|#UK,18.25,17.81,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",elevated,92.04,67.92,https://youtube.example.com/watch?v=800021
YT-800022,2025-01-12T18:00:00,Machine Learning Street Talk,AI Agents,CMP-009,Scale AI,AI Agents market update: what Scale AI says about 2026 demand,22764,1115,109,31091,Germany,0.25,48.32,15.68,47.78,#aiagents|#AI|#DE,5.06,11.44,"Analysts note that ai agents usage patterns on Jan 12, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,94.36,67.53,https://youtube.example.com/watch?v=800022
YT-800023,2025-01-12T06:00:00,MLOps Weekly,AI Agents,CMP-015,Windsurf,AI Agents market update: what Windsurf says about 2026 demand,14120,1267,269,36102,Germany,0.119,48.32,40.38,46.23,#aiagents|#AI|#DE,5.06,11.44,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,94.36,67.53,https://youtube.example.com/watch?v=800023
YT-800024,2025-01-12T13:00:00,Cloud Native Bytes,AI Agents,CMP-014,Replit,AI Agents market update: what Replit says about 2026 demand,147625,9068,1827,132320,Japan,0.018,49.51,42.09,35.67,#aiagents|#AI|#JP,7.93,9.93,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,90.21,65.64,https://youtube.example.com/watch?v=800024
YT-800025,2025-01-12T02:00:00,Fireship,AI Agents,CMP-031,AgentForge,AI Agents market update: what AgentForge says about 2026 demand,34258,2240,456,81793,Japan,0.08,49.51,2.68,33.9,#aiagents|#AI|#JP,7.93,9.93,"AgentForge teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,90.21,65.64,https://youtube.example.com/watch?v=800025
YT-800026,2025-01-12T07:00:00,MLOps Weekly,AI Agents,CMP-028,LangChain,AI Agents market update: what LangChain says about 2026 demand,22414,1618,351,18595,Japan,-0.003,49.51,29.33,46.4,#aiagents|#AI|#JP,7.93,9.93,"Analysts note that ai agents usage patterns on Jan 12, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,90.21,65.64,https://youtube.example.com/watch?v=800026
YT-800027,2025-01-12T11:00:00,Machine Learning Street Talk,AI Agents,CMP-009,Scale AI,AI Agents market update: what Scale AI says about 2026 demand,42786,992,193,69351,Japan,-0.101,49.51,28.89,29.47,#aiagents|#AI|#JP,7.93,9.93,"Analysts note that ai agents usage patterns on Jan 12, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,90.21,65.64,https://youtube.example.com/watch?v=800027
YT-800028,2025-01-12T16:00:00,MLOps Weekly,AI Agents,CMP-009,Scale AI,AI Agents market update: what Scale AI says about 2026 demand,102323,8725,966,235184,France,0.011,51.24,30.06,37.84,#aiagents|#AI|#FR,17.68,10.83,"Analysts note that ai agents usage patterns on Jan 12, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,92.97,65.72,https://youtube.example.com/watch?v=800028
YT-800029,2025-01-12T17:00:00,The AI Breakdown,AI Agents,CMP-013,Cursor,AI Agents market update: what Cursor says about 2026 demand,38288,1759,294,95773,France,-0.002,51.24,28.45,37.53,#aiagents|#AI|#FR,17.68,10.83,"Cursor teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,92.97,65.72,https://youtube.example.com/watch?v=800029
YT-800030,2025-01-13T18:00:00,Two Minute Papers,AI Agents,CMP-028,LangChain,AI Agents market update: what LangChain says about 2026 demand,55072,4087,362,53782,Germany,0.259,53.42,23.66,34.84,#aiagents|#AI|#DE,10.54,9.54,"Analysts note that ai agents usage patterns on Jan 13, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,93.39,75.35,https://youtube.example.com/watch?v=800030
YT-800031,2025-01-13T09:00:00,Two Minute Papers,AI Agents,CMP-009,Scale AI,AI Agents market update: what Scale AI says about 2026 demand,133503,6272,560,227790,Germany,0.395,53.42,28.39,40.08,#aiagents|#AI|#DE,10.54,9.54,"Scale AI teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,93.39,75.35,https://youtube.example.com/watch?v=800031
YT-800032,2025-01-13T23:00:00,Fireship,AI Agents,CMP-013,Cursor,AI Agents market update: what Cursor says about 2026 demand,151258,6246,521,275528,Japan,0.448,50.62,24.57,37.08,#aiagents|#AI|#JP,2.24,10.31,"Cursor teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,91.61,72.27,https://youtube.example.com/watch?v=800032
YT-800033,2025-01-13T12:00:00,Cloud Native Bytes,AI Agents,CMP-028,LangChain,AI Agents market update: what LangChain says about 2026 demand,109887,6293,1074,205954,Japan,0.46,50.62,43.63,36.54,#aiagents|#AI|#JP,2.24,10.31,"LangChain teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,91.61,72.27,https://youtube.example.com/watch?v=800033
YT-800034,2025-01-14T12:00:00,Fireship,AI Agents,CMP-009,Scale AI,AI Agents market update: what Scale AI says about 2026 demand,15448,708,152,25088,Germany,0.483,53.42,23.83,41.4,#aiagents|#AI|#DE,0.01,8.52,"Analysts note that ai agents usage patterns on Jan 14, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,93.65,68.63,https://youtube.example.com/watch?v=800034
