kaggle_activity_id,activity_date,competition_name,topic,company_id,company,country,kernels_created,notebook_votes,dataset_downloads,medal_rate,trend_score,sentiment_score,popularity_growth_pct,volatility_metric,innovation_score,adoption_score,risk_indicator,ai_summary,source_reference
KGL-990000,2025-04-25T00:00:00,Cyber Incident Detection,LLM,CMP-001,OpenAI,Japan,48,716,1887,0.223,56.88,0.16,0.78,5.86,89.86,78.67,low,"Analysts note that llm usage patterns on Apr 25, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990000
KGL-990001,2025-03-05T00:00:00,Cyber Incident Detection,Inference Optimization,CMP-018,Mistral AI,Japan,8,117,443,0.208,22.92,0.275,-1.7,8.97,84.5,60.62,low,"Mistral AI teams are discussing how inference optimization is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990001
KGL-990002,2025-05-10T00:00:00,Agent Reasoning Benchmark,Generative AI,CMP-016,Midjourney,Germany,71,930,2694,0.236,61.54,0.39,2.63,7.77,92.62,73.64,low,"Analysts note that generative ai usage patterns on May 10, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990002
KGL-990003,2025-02-10T00:00:00,Open Model Eval,Inference Optimization,CMP-018,Mistral AI,Singapore,20,318,867,0.166,20.68,0.146,1.46,6.49,90.05,52.44,low,"Mistral AI teams are discussing how inference optimization is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990003
KGL-990004,2025-09-08T00:00:00,Cyber Incident Detection,AI Agents,CMP-014,Replit,United Arab Emirates,53,788,1956,0.189,58.76,0.224,0.71,8.9,90.91,72.03,low,"Analysts note that ai agents usage patterns on Sep 08, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990004
KGL-990005,2025-06-21T00:00:00,Agent Reasoning Benchmark,MLOps,CMP-011,Snowflake,United Arab Emirates,49,710,1884,0.109,31.47,0.111,-4.69,6.64,80.07,67.42,low,"Analysts note that mlops usage patterns on Jun 21, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990005
KGL-990006,2025-08-22T00:00:00,GPU Cost Forecasting,AI Agents,CMP-001,OpenAI,Canada,44,677,1673,0.139,54.29,0.124,-1.23,7.69,92.39,72.74,low,"Analysts note that ai agents usage patterns on Aug 22, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990006
KGL-990007,2025-10-19T00:00:00,Cyber Incident Detection,Generative AI,CMP-003,Google DeepMind,France,48,683,1846,0.261,67.31,0.759,6.22,13.65,90.78,76.76,low,"Developers are comparing tooling choices around generative ai as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990007
KGL-990008,2025-01-05T00:00:00,Startup Growth Forecasting,Open Source AI,CMP-018,Mistral AI,United States,45,674,1663,0.168,37.35,0.319,4.79,8.94,85.7,65.94,low,"Analysts note that open source ai usage patterns on Jan 05, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990008
KGL-990009,2025-09-26T00:00:00,Open Model Eval,AI Agents,CMP-002,Anthropic,India,66,947,2582,0.197,66.78,0.362,6.36,13.85,91.09,67.95,low,"Anthropic teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990009
KGL-990010,2025-08-30T00:00:00,Open Model Eval,Data Engineering,CMP-027,HashiCorp,France,39,569,1552,0.171,42.04,0.003,-4.68,10.21,74.17,78.24,low,"Analysts note that data engineering usage patterns on Aug 30, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990010
KGL-990011,2025-12-04T00:00:00,Open Model Eval,Generative AI,CMP-016,Midjourney,Japan,46,594,1615,0.181,64.38,0.386,0.73,7.79,88.75,76.16,low,"Analysts note that generative ai usage patterns on Dec 04, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990011
KGL-990012,2025-07-18T00:00:00,GPU Cost Forecasting,LLM,CMP-002,Anthropic,United States,31,467,1138,0.239,62.03,0.148,-7.13,11.43,93.01,74.47,low,"Anthropic teams are discussing how llm is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990012
KGL-990013,2025-07-27T00:00:00,GPU Cost Forecasting,LLM,CMP-001,OpenAI,Canada,43,570,1743,0.227,58.56,0.378,1.78,7.2,89.67,74.48,low,"OpenAI teams are discussing how llm is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990013
KGL-990014,2025-07-29T00:00:00,GPU Cost Forecasting,Generative AI,CMP-005,Meta AI,Germany,54,725,1998,0.213,61.06,0.26,2.78,7.92,87.64,68.86,low,"Developers are comparing tooling choices around generative ai as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990014
KGL-990015,2025-07-05T00:00:00,Agent Reasoning Benchmark,AI Agents,CMP-015,Windsurf,Germany,52,764,1984,0.257,54.44,0.362,3.46,9.79,94.1,69.95,low,"Windsurf teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990015
KGL-990016,2025-03-22T00:00:00,Cyber Incident Detection,MLOps,CMP-010,Databricks,United Kingdom,26,382,1056,0.172,32.33,-0.049,6.29,7.17,80.05,71.29,low,"Developers are comparing tooling choices around mlops as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990016
KGL-990017,2025-04-06T00:00:00,Cyber Incident Detection,LLM,CMP-017,Stability AI,United States,47,695,1791,0.191,62.2,0.224,2.88,7.52,86.94,72.45,low,"Developers are comparing tooling choices around llm as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990017
KGL-990018,2025-01-27T00:00:00,Cyber Incident Detection,Generative AI,CMP-005,Meta AI,China,63,875,2379,0.231,62.04,0.298,7.34,10.34,88.96,73.81,low,"Developers are comparing tooling choices around generative ai as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990018
KGL-990019,2025-10-27T00:00:00,Cyber Incident Detection,Generative AI,CMP-005,Meta AI,United Kingdom,50,753,1949,0.177,63.68,0.167,1.94,8.85,90.03,73.35,low,"Meta AI teams are discussing how generative ai is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990019
