tweet_id,created_at,username,followers,tech_topic,sentiment,likes,retweets,content,company_id,company,country,region,trend_score,sentiment_score,funding_estimate_musd,hiring_activity_index,hashtags,popularity_growth_pct,volatility_metric,ai_summary,risk_indicator,innovation_score,adoption_score,source_reference
TWT-200000,2025-01-01T05:19:00,model_51932,128570,AI Agents,positive,5089,1140,Windsurf keeps showing up in AI Agents discussions as teams focus on developer adoption. #AIAgents #UK #windsurf,CMP-015,Windsurf,United Kingdom,Europe,49.96,0.393,176.79,52.73,#AIAgents|#UK|#windsurf,3.82,9.43,"Analysts note that ai agents usage patterns on Jan 01, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,88.9,65.28,https://x.example.com/CMP-015/200000
TWT-200001,2025-01-01T21:38:00,agent_92460,23247,AI Agents,positive,2696,1086,Replit keeps showing up in AI Agents discussions as teams focus on agent quality. #AIAgents #CN #replit,CMP-014,Replit,China,Asia,44.14,0.206,163.46,45.68,#AIAgents|#CN|#replit,4.51,8.73,"Analysts note that ai agents usage patterns on Jan 01, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,93.37,66.21,https://x.example.com/CMP-014/200001
TWT-200002,2025-01-02T23:30:00,data_46409,21064,AI Agents,neutral,2875,758,Windsurf keeps showing up in AI Agents discussions as teams focus on developer adoption. #AIAgents #US #windsurf,CMP-015,Windsurf,United States,North America,45.15,-0.101,164.87,52.5,#AIAgents|#US|#windsurf,-5.86,11.58,"Analysts note that ai agents usage patterns on Jan 02, 2025 reflect both hype and practical deployment pressure. The conversation is active, though buyers continue to separate pilot noise from repeatable production value.",moderate,89.4,61.84,https://x.example.com/CMP-015/200002
TWT-200003,2025-01-02T08:44:00,secure_40125,6412,AI Agents,positive,2509,797,Cursor keeps showing up in AI Agents discussions as teams focus on developer adoption. #AIAgents #UK #cursor,CMP-013,Cursor,United Kingdom,Europe,46.55,0.298,165.71,55.06,#AIAgents|#UK|#cursor,-6.83,9.54,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",moderate,92.27,64.83,https://x.example.com/CMP-013/200003
TWT-200004,2025-01-02T04:32:00,founder_82275,22074,AI Agents,neutral,2845,562,AgentForge keeps showing up in AI Agents discussions as teams focus on developer adoption. #AIAgents #CN #agentforge,CMP-031,AgentForge,China,Asia,42.22,0.068,171.99,37.68,#AIAgents|#CN|#agentforge,-4.35,7.81,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. The conversation is active, though buyers continue to separate pilot noise from repeatable production value.",low,92.43,65.59,https://x.example.com/CMP-031/200004
TWT-200005,2025-01-03T03:34:00,agent_78973,27440,AI Agents,positive,2841,421,OpenAI keeps showing up in AI Agents discussions as teams focus on developer adoption. #AIAgents #IN #openai,CMP-001,OpenAI,India,Asia,41.84,0.633,160.27,52.96,#AIAgents|#IN|#openai,-6.01,7.36,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,88.55,62.62,https://x.example.com/CMP-001/200005
TWT-200006,2025-01-03T05:10:00,founder_79812,5034,AI Agents,positive,2893,1081,Scale AI keeps showing up in AI Agents discussions as teams focus on agent quality. #AIAgents #IN #scaleai,CMP-009,Scale AI,India,Asia,41.84,0.479,161.85,49.7,#AIAgents|#IN|#scaleai,-6.01,7.36,"Analysts note that ai agents usage patterns on Jan 03, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,88.55,62.62,https://x.example.com/CMP-009/200006
TWT-200007,2025-01-03T02:09:00,model_85626,9397,AI Agents,neutral,3054,1024,Cursor keeps showing up in AI Agents discussions as teams focus on governance. #AIAgents #UK #cursor,CMP-013,Cursor,United Kingdom,Europe,49.27,0.099,203.36,48.78,#AIAgents|#UK|#cursor,5.84,11.19,"Cursor teams are discussing how ai agents is moving from experimentation into production buying cycles. The conversation is active, though buyers continue to separate pilot noise from repeatable production value.",moderate,88.95,71.1,https://x.example.com/CMP-013/200007
TWT-200008,2025-01-03T18:16:00,vector_36587,16053,AI Agents,positive,2975,768,AgentForge keeps showing up in AI Agents discussions as teams focus on GPU capacity. #AIAgents #AE #agentforge,CMP-031,AgentForge,United Arab Emirates,Middle East,42.28,0.257,177.96,54.87,#AIAgents|#AE|#agentforge,-3.63,7.62,"AgentForge teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",low,93.57,69.01,https://x.example.com/CMP-031/200008
TWT-200009,2025-01-03T02:05:00,secure_23198,34928,AI Agents,neutral,3518,786,Anthropic keeps showing up in AI Agents discussions as teams focus on agent quality. #AIAgents #CN #anthropic,CMP-002,Anthropic,China,Asia,42.8,0.144,166.36,57.42,#AIAgents|#CN|#anthropic,1.39,8.08,"Anthropic teams are discussing how ai agents is moving from experimentation into production buying cycles. The conversation is active, though buyers continue to separate pilot noise from repeatable production value.",low,91.33,66.19,https://x.example.com/CMP-002/200009
