hn_post_id,created_at,title,domain,topic,points,comments,company_id,company,country,trend_score,sentiment_score,popularity_growth_pct,volatility_metric,innovation_score,adoption_score,risk_indicator,ai_summary,source_reference
HN-700000,2025-01-02T12:00:00,Windsurf and the new economics of ai agents,huggingface.co,AI Agents,219,99,CMP-015,Windsurf,United States,48.92,0.284,-5.42,11.48,89.4,61.84,moderate,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://news.ycombinator.com/item?id=700000
HN-700001,2025-01-02T19:00:00,OpenAI and the new economics of ai agents,github.com,AI Agents,199,68,CMP-001,OpenAI,United States,48.92,-0.102,-5.42,11.48,89.4,61.84,moderate,"OpenAI teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://news.ycombinator.com/item?id=700001
HN-700002,2025-01-05T16:00:00,Cursor and the new economics of ai agents,databricks.com,AI Agents,196,96,CMP-013,Cursor,United States,53.1,0.687,8.21,11.91,90.35,65.42,moderate,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://news.ycombinator.com/item?id=700002
HN-700003,2025-01-05T21:00:00,Anthropic and the new economics of ai agents,nvidia.com,AI Agents,235,116,CMP-002,Anthropic,United States,53.1,0.284,8.21,11.91,90.35,65.42,moderate,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://news.ycombinator.com/item?id=700003
HN-700004,2025-01-15T10:00:00,Scale AI and the new economics of ai agents,databricks.com,AI Agents,240,111,CMP-009,Scale AI,United States,63.16,0.091,2.55,6.87,93.9,68.21,low,"Scale AI teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://news.ycombinator.com/item?id=700004
HN-700005,2025-01-15T22:00:00,Windsurf and the new economics of ai agents,databricks.com,AI Agents,273,97,CMP-015,Windsurf,United States,63.16,0.475,2.55,6.87,93.9,68.21,low,"Windsurf teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://news.ycombinator.com/item?id=700005
HN-700006,2025-01-16T15:00:00,Scale AI and the new economics of ai agents,nvidia.com,AI Agents,301,136,CMP-009,Scale AI,United States,65.42,0.51,3.57,9.79,91.14,65.56,moderate,"Scale AI teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://news.ycombinator.com/item?id=700006
HN-700007,2025-01-16T15:00:00,LangChain and the new economics of ai agents,anthropic.com,AI Agents,279,106,CMP-028,LangChain,United States,65.42,0.195,3.57,9.79,91.14,65.56,moderate,"Analysts note that ai agents usage patterns on Jan 16, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://news.ycombinator.com/item?id=700007
HN-700008,2025-01-20T16:00:00,Anthropic and the new economics of ai agents,huggingface.co,AI Agents,257,105,CMP-002,Anthropic,United States,67.07,0.749,4.5,7.02,96.53,76.42,low,"Anthropic teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://news.ycombinator.com/item?id=700008
HN-700009,2025-01-20T06:00:00,AgentForge and the new economics of ai agents,anthropic.com,AI Agents,274,110,CMP-031,AgentForge,United States,67.07,0.644,4.5,7.02,96.53,76.42,low,"AgentForge teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://news.ycombinator.com/item?id=700009
